NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2013,2013,01/08/1986 12:00:00 AM,MASCULINO,BOGOTA D C,Freie Universitat Berlin,Ph.D. in Political Science,No Aplica,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Barcelona,Maestria en Ciencias Quimica,Investigaciones en Energia y Mineria,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,City University of New York,Finanzas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2011,2011,09/10/1984 12:00:00 AM,FEMENINO,SANTANDER,Universidad de Barcelona,Doctorado en Ecologia Fundamental y Aplicada,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,HUILA,Universidad de Estudios de Brescia,Metodologias tecnicas apropiadas para cooperacion internacional desarrollo,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA AMBIENTAL Y GEOLOGICA
Doctorados Exterior 2010,2010,01/07/1987 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Clemson University - Massachusetts Institute of Technology - Stanford University,Ingenieria Electronica,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,10/12/1981 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad De Huelva - Universidad De Alicante - Universidad De Almeria,Doctorado en Ciencias de la Salud,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,ENFERMERIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Massachussets Institute of Technology - Stanford University - Universidad de Caifornia Berkeley,Doctorado en ingenieria quimica,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,West Texas AM University - University of Adelaide - Universidad De Stuttgart,phD in Agriculture,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,OTRAS CIENCIAS NATURALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,University Of Minnesota - Universitat Politecnica de Catalunya - Texas A M university,Ingenieria Aeroespacial,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA AEROESPACIAL
Doctorados Exterior 2010,2010,07/04/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Universitat de Barcelona - Technical University Of Denmark - Centro Interdisciplinar en Energia y Ambiente,Ingenieria Ambiental AGROINDUSTRIA MAS LIMPIA,Biotecnologia,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2010,2010,08/06/1986 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,UNIVERSITY OF DELAWARE - Massachusetts Institute of Technology - University of California Irvine,Ingenieria Mecanica,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,CALDAS,University Of Alabama,biologia celular,Ciencias Basicas,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,META,Duke University - Stanford University - Cornell University,Ecologia,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2011,2011,03/01/1981 12:00:00 AM,MASCULINO,NARINO,Friedrich Schiller University,Doctorado en Quimica y Ciencias de la Tierra,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2013,2013,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Arizona State University,PhD en Microbiologia,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Instituto De Neurologia Y Neurocirugia,Neurocirugia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University Of Toronto - University Of Portsmouth - YORK UNIVERSITY,Instituto de Psicologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Zaragoza Logistics Center - British Columbia University - UNIVERSITY OF FLORIDA,Ingenieria Industrial,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DE PRODUCCION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University of Montana - University of Arizona - UNIVERSITY OF FLORIDA,Wildlife Biology,Ciencias Basicas,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University Of Minnesota - University of California Berkeley - The University of Illinois at Urbana-Champaign,Programa de Biologia Y Mejoramiento Genetico,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA TEORICA MATEMATICA CRIOBIOLOGIA EVOLUTIVA
Doctorados Exterior 2010,2010,08/08/1982 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,UNIVERSIDAD DE SAO PAULO - Universidad Estadual de Campinas - UNIVERSIDAD FEDERAL DE VICOSA,Genetica y Mejoramiento de plantas,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/06/1986 12:00:00 AM,MASCULINO,BOLIVAR,Princeton University,Ciencias Humanas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,TOLIMA,University Of North Carolina - FLORIDA STATE UNIVERSITY - Yale University,Facultad de Ingenieria Forestal,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universite De Paris Iv (Paris-Sorbonne) - University of East Anglia - University of Cambridge,Doctorado en Filosofia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,FILOSOFIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,texas a  m university - The University of Nottingham - Harvard University,PhD Animal Science,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University Of Southampton - University of Oxford - Johns Hopkins University School Of Public Health,Salud,Ciencia Tecnologia e Innovacion en Salud,OTRAS BIOLOGIAS,BIOQUIMICA Y BIOLOGIA MOLECULAR
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University College London - The University of British Columbia - Kings College London,Phd Computer Science / Bioinformatics,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,RWTH Universidad de Aachen - Universidad Fridericiana De Karlsruhe Alemania - Universidad De Stuttgart,Doctorado en Ingenieria,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,11/03/1985 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Sydney - Cornell University - Delft University of Technology,Ph.D. Engineering - School of Chemical and Biomolecular Engineering,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Johns Hopkins University School Of Public Health - London School of Hygiene and Tropical Medicine,Doctorado en salud Publica,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,10/01/1982 12:00:00 AM,MASCULINO,CALDAS,Universidad de Illinois en Chicago,Doctorado en Ingenieria quimica,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,UNIVERSIDAD AUTONOMA DE BARCELONA - UNIVERSIDAD AUTONOMA DE BARCELONA,Master Oficial en Microbiologia Aplicada,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,University Of Wisconsin - Madison - University of Zagreb - UNIVERSITY OF PRINCE EDWARD ISLAND,Facultad de Ciencias Agrarias,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,Michigan State University - UNIVERSITY OF CALIFORNIA - DAVIS- - Iowa State University,Programa de biologia y mejoramiento genetico de palma de aceite,Biotecnologia,OTRAS BIOLOGIAS,BIOQUIMICA Y BIOLOGIA MOLECULAR
Doctorados Exterior 2010,2010,08/06/1977 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Rensselaer Polytechnic Institute - Universidad de California Davis - UNIVERSITY OF ILLINOIS AT CHICAGO,PhD in Transportation Engineering,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DEL TRANSPORTE
Doctorados Exterior 2010,2010,04/10/1984 12:00:00 AM,MASCULINO,META,Universidad de California Davis - Duke University - Utrecht University,Medio ambiente,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Universidad Federal de Santa Catarina - Universidad Federal de Parana - Universidad Federal de Rio Grande del Sur,Programa de Pos-Graduacao Interdisciplinar em Ciencias Humanas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS NATURALES,CIENCIAS NATURALES
Doctorados Exterior 2010,2010,05/02/1986 12:00:00 AM,MASCULINO,CAUCA,Universidad de Campinas - Universidad Rey Juan Carlos - Universidad Politecnica de Valencia,Doctorado en ingenieria de Materiales o Mecanica,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Iowa State University - Purdue University - Cornell University,Crop Production  Physiology,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,Universidad de Buenos Aires - Universidad Carlos Tercero,Facultad de Medicina,Ciencia Tecnologia e Innovacion en Salud,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,RISARALDA,University Of Waterloo - Universidad del Estado de Nueva York - The university of New South Wales,DOCTORADO  EN CIENCIAS DE LA VISION - BAJA VISION,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidade Federal Do Rio Grande Do Sul - Universidade do Sao Paulo - Universidad Politecnica de Madrid,Doctorado en Fitotecnia - Doctorado en Biotecnologia y recursos geneticos d,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,10/03/1979 12:00:00 AM,MASCULINO,BOGOTA D C,Univerisdad Nacional Autonoma de Mexico - Facultad Latinoamericana de Ciencias Sociales - FACULTAD LATINOAMERICA DE CIENCIAS SOCIALES,Ciencias Humanas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/07/1983 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad De Chile - Universidad de Barcelona,Grupo de Investigacion en Economia Laboral,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Universite du Quebec a Montreal - Swansea University - OREGON STATE UNIVERSITY,Doctorate in Biology,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,UNIVERSITY OF FLORIDA - The University of Georgia - Texas AM University,Ph.D.  Agricultural and Biological Engineering,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,ALIMENTOS Y BEBIDAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,The London School of Economics and Political science - Erasmus University Rotterdam - Universidad De York,Ph.D demography and population studies,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,03/02/1980 12:00:00 AM,FEMENINO,NARINO,University of Massachusetts - University Of Alberta - University Of Wisconsin - Madison,Doctorado en Botanica,Ciencias Basicas,OTRAS BIOLOGIAS,BOTANICA Y CIENCIAS DE LAS PLANTAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,University Of Essex - Paris School of Economics - Universite Catholique De Louvain,Doctorado en Economia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,TOLIMA,YORK UNIVERSITY - CORNELL UNIVERSITY - GEORG-AUGUST-UNIVERSITAT-GOTTINGEN,Biologia,Ciencias Basicas,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2010,2010,05/05/1982 12:00:00 AM,MASCULINO,SUCRE,Rwth Aachen University - Universidad De Graz - Universitat Karlsruhe (Fridericiana),Doctorado en Ingenieria,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Kings College London - Universidad de Sao Pablo - University College London,Geografia,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,GEOCIENCIAS MULTIDISCIPLINARIO,GEOCIENCIAS MULTIDISCIPLINARIO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,DISTRITO FEDERAL,Harvard University-The Graduate School of Arts and Sciences - Princeton University - Stanford University,Doctorado en Historia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,HISTORIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,TOLIMA,Univerdidad Politecnica de Valencia - Universidad Complutense de Madrid - Universitat Politecnica de Catalunya,Programa de Doctorado Automatica Robotica e Informatica Industrial.,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,09/01/1978 12:00:00 AM,MASCULINO,BOGOTA D C,Stanford University - University of Memphis - Universite Joseph Fourier (Grenoble I),Doctorado en Ingenieria,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,CIENCIAS NATURALES,OTRAS CIENCIAS NATURALES
Doctorados Exterior 2010,2010,11/02/1982 12:00:00 AM,FEMENINO,BOGOTA D C,UNIVERSITE DE LA LUMIERE LYON 2 - Universite Sorbonne Nouvelle Paris 3 - Universidad de Ginebra,Programa de Lenguas Modernas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2010,2010,04/12/1983 12:00:00 AM,MASCULINO,ANTIOQUIA,University of California San Diego - University of Colorado At Boulder - Georgia Institute of Technology,Doctorado en Ingenieria civil,Ciencias Basicas,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University of California - University of California/Davis - Iowa State University,Ph.D. in Education,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,EDUCACION GENERAL INCLUYE CAPACITACION PEDADOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,NORTE DE SANTANDER,Universite de Strasbourg - Universite de Nice-Sophia Antipolis - ECOLE POLYTECHNIQUE,Doctorado en Gestion,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Eindhoven University - Fontys - Eindhoven University,PhD in Biomedical Sciences,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MEDICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,UNIVERSIDAD COMPLUTENSE DE MADRID - Universidad de Murcia - Universidad De Buenos Aires,Facultad de Ciencias Agrarias,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,03/05/1978 12:00:00 AM,FEMENINO,BOGOTA D C,University of Sussex - University of Warwick - University College London,PhD in Women Studies (Doctorado en Estudios de Genero / Mujeres),Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,SOCIOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidad Autonoma Metropolitana - Universidad Nacional Autonoma De Mexico - New School for Social Research,Doctorado en Antropologia Social,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,03/02/1980 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad De Buenos Aires - Instituto Nacional de Ciencias Penales - Alma Mater Studiorum Universita di Bologna,Doctorado en Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Swedish University of Agricultural Sciences - University of Helsinki - McGill University,Plant virology PhD,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidad Estadual de Campinas - Massachusetts Institute of Technology - Universidad Nacional Autonoma de Mexico,Biologia,Ciencias Basicas,OTRAS BIOLOGIAS,GENETICA Y HERENCIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Massachusetts Institute of Technology - University of Iowa - University of Michigan,Programa Nacional de Formacion de Investigadores Generacion Bicentenario,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DE PRODUCCION
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,The University of Manchester,PhD Computer Science,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,CUNDINAMARCA,Johann Wolfang Goethe Universitat Frankfurt am Main - Universidad de San Gallen - Columbia University New York,Historia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,HISTORIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,Goldsmiths University of London - University of the Arts London CCW Graduate School - Edinburgh College of Art,Arte,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,CALDAS,The City University of New York - THE UNIVERSITY OF FLORIDA - University Of Miami,Doctorado en Filosofia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,FILOSOFIA
Doctorados Exterior 2010,2010,01/11/1986 12:00:00 AM,MASCULINO,CALDAS,University College London - University of Cambridge - University Of Illinois,Maestria en Ingenieria - Ingenieria Quimica,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,02/12/1981 12:00:00 AM,FEMENINO,BOGOTA D C,CORNELL UNIVERSITY - The University of York - Georg-August-Universitat Gottingen,Biologia de la Palma,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Harvard University - The London School of Economics and Political science - Columbia University,Ph.D. in Public Policy-Ph.D. Economics,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Johns Hopkins University School Of Advanced Studies - Johns Hopkins University School Of Advanced Studies - Johns Hopkins University School Of Advanced Studies,Doctorado en Estudios Latinoamericanos,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
